Business Name,Longitude,Latitude
"SEVEN ELEVEN CAR PARK, LLC",-73.97326601,40.7523742
SP PLUS CORPORATION,-73.97494089,40.79030138
SP PLUS CORPORATION,-73.9397612,40.8399486
CHAMPION PARKING 68 LLC,-73.97776687,40.77375396
"550 WEST 25TH CAR PARK, LLC",-74.00487595,40.74966264
LA MARINA PARKING LLC,-73.92917929,40.86710966
300 E. 34 PARKING LLC,-73.97578807,40.74473063
"ABM INDUSTRY GROUPS, LLC",-73.98237763,40.74564583
"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",-73.97116129,40.75352374
MP 41 LLC,-73.99450971,40.75921159
"MUTUAL PARKING SYSTEM, INC.",-73.96103496,40.76329205
QUIK PARK TRUFFLES LLC,-73.99413851,40.75246498
FREMAN GARAGE CORP.,-73.97191517,40.78891459
EAST 81ST REALTY LLC,-73.95761544,40.77614995
PROPARK AMERICA NEW YORK LLC,-73.97415976,40.73725907
VALET PARKING CORP.,-73.99379346,40.73696536
10 WEST 66TH STREET CAR PARK LLC,-73.97932331,40.77265909
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98657207,40.7592274
SP PLUS CORPORATION,-73.99457248,40.7419636
CHAMPION PARKING 76 ST LLC.,-73.98007529,40.78134357
10 WEST 21ST LLC,-73.99105057,40.74047847
SEWARD PARK GARAGE LLC,-73.98633552,40.71582735
SP PLUS CORPORATION,-73.95499628,40.77836396
"ABM INDUSTRY GROUPS, LLC",-73.97448277,40.76067458
MURRAY 38 PARKING LLC,-73.97671425,40.74843349
"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",-73.97535165,40.76353754
SP PLUS CORPORATION,-73.94694233,40.77193785
SP PLUS CORPORATION,-73.97483091,40.78506441
181 EAST 73 STREET GARAGE LLC,-73.96069127,40.77068901
CHAMPION CONFUCIUS LLC,-73.9973018,40.71407972
"EAST 39TH REALTY, LLC",-73.97518786,40.7477909
SP PLUS CORPORATION,-73.99589008,40.73523626
CHAMPION PARKING 80 LLC,-73.95090969,40.7724913
IMPERIAL PARKING US LLC,-73.98143062,40.77682322
SAMO PARKING LLC,-73.95469575,40.76898507
BRISTOL 65 PARKING LLC,-73.96351393,40.76516203
338 EAST 59TH STREET GARAGE LLC,-73.96276597,40.75994404
BATTERY 17 PARKING LLC,-74.01592726,40.70488369
MP WATTS LLC,-74.01021359,40.72430078
124 WEST 20TH STREET GARAGE LLC,-73.99517517,40.74144487
W 155 Operating LLC,-73.9405069,40.83051541
59 AND 5TH PARKING LLC,-73.97318913,40.76402013
REDBALL OWNERS LLC,-73.98073234,40.74433083
575 LEX GARAGE LLC,-73.97182746,40.75721559
SP PLUS CORPORATION,-74.01613786,40.71071628
TOWER EAST GARAGE CORP.,-73.96151525,40.76924556
TWO FIFTH GARAGE PARTNERS LLC,-73.99660831,40.73192062
SP PLUS CORPORATION,-73.91456116,40.87038791
PARK 108 LLC,-73.96599671,40.80225238
ONE PARKING 89TH STREET LLC,-73.97455097,40.79002133
CHAMPION PARKING 82 LLC,-73.94655918,40.77250034
SP PLUS CORPORATION,-73.97590088,40.76209118
333 EAST 46TH ST. PARKING CORP.,-73.96946198,40.75201095
CHAMPION PARKING 113 LLC,-73.96064624,40.80411709
METROPOLITAN 51 PARKING LLC,-73.97204416,40.75691646
QUIK PARK 3RD AVE LLC,-73.9631198,40.7663147
SP PLUS CORPORATION,-74.01544187,40.71142453
SAWYER PARKING LLC,-77.51958437,40.11238534
NEW YORK PARKING 51ST STREET CORP.,-73.96917141,40.75597977
QUIK PARK BLOOM LLC,-73.9669411,40.76253086
SP PLUS CORPORATION,-73.97649646,40.74175273
"SAVANNAH GARAGE, LLC",-73.97553671,40.79041953
MP 30 YARDS LLC,-74.0022522,40.75258588
IMPARK WATER LLC,-74.00978123,40.70359708
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.9475644,40.83473746
"IPARK U, Inc",-73.95228909,40.77216525
SP PLUS CORPORATION,-73.97363493,40.75041453
AP 127TH MANAGEMENT LLC.,-73.95063154,40.81165574
IMPARK 85 LLC,-73.94611102,40.77308476
"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.98891534,40.77726883
"30 OPERATING, LLC",-73.99612737,40.75002499
SP PLUS CORPORATION,-73.9943595,40.74269369
79TH STREET REALTY LLC,-73.95385914,40.77282463
400 EAST 56 PARKING LLC,-73.96307776,40.75748759
SP PLUS CORPORATION,-73.98436487,40.76645678
GEMA PARKING CORP.,-73.98403018,40.73197721
SP PLUS CORPORATION,-73.96213711,40.76130522
CHAMPION PARKING 245 LLC,-73.95687871,40.77085233
345 EAST GARAGE CORP.,-73.95312941,40.77342818
150 EAST 18TH STREET PARKING CORP,-73.98558816,40.73549893
SP PLUS CORPORATION,-73.97866897,40.76407343
"CONNAUGHT CAR PARK, LLC",-73.96635177,40.7572251
"MUTUAL PARKING, INC.",-73.94629946,40.77221477
ENTERPRISE 24TH PARKING LLC,-73.98210868,40.73925327
WEST 43 PARKING LLC,-73.99937912,40.76128125
"60 SUTTON PLACE PARKING ASSOCIATES, LLC",-73.96223076,40.75528603
SP PLUS CORPORATION,-73.98653581,40.76001789
SP PLUS CORPORATION,-73.9823176,40.76787002
305 EAST 80TH PARKING LLC,-73.95418696,40.77387325
LEXINGTON 58 PARKING LLC,-73.96818343,40.76139763
SP PLUS CORPORATION,-73.98153267,40.76037401
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.97905155,40.72989588
"50 EAST 79TH STREET CAR PARK, LLC",-73.96161599,40.77609646
MP 17 LLC,-74.00595455,40.74369002
35 PARK AVENUE GARAGE LLC,-73.98050024,40.74821461
RAPID PARK HOLDING CORP,-73.95485707,40.76534561
EAST 71ST STREET GARAGE CORP.,-73.96316472,40.76994326
CHAMPION PARKING 33 LLC,-73.98156891,40.74679301
LHL PARKING CO LLC,-73.98379875,40.76376685
"SAM PARKING, L.L.C.",-74.00325414,40.72300292
MP BETH PARKING LLC,-73.9500049,40.77541131
"LAURENCE TOWERS GARAGE CO., LLC",-73.97827452,40.74490679
SP PLUS CORPORATION,-73.98896349,40.74818829
CLICK PARKING CORP.,-73.97094627,40.78310101
SLATE PARKING CORP.,-73.98054349,40.73606361
38TH & THIRD PARKING LLC,-73.97600337,40.74813417
ALLIANCE AMHERST PARKING LLC,-73.95469575,40.76898507
UNI. FACILITY CORP.,-73.95810901,40.81805665
QUIK PARK SWIFT LLC,-73.96935358,40.76012713
"MUTUAL PARKING, INC.",-73.94657728,40.77244271
245 EAST 40TH ST. PARKING LLC,-77.51958437,40.11238534
SP PLUS CORPORATION,-73.9625461,40.7786329
SP PLUS CORPORATION,-73.98036424,40.75658332
"ALMAR GARAGE, INC.",-73.96511456,40.76935375
43RD & 11TH GARAGE LLC,-73.99879434,40.76103422
169 LUDLOW PARKING LLC,-73.98830405,40.72185231
PRION CORP,-73.95566498,40.77186468
SP PLUS CORPORATION,-73.94351331,40.83908317
OXFORD PARKING CORP.,-73.96807874,40.753877
53RD STERLING PARKING LLC,-73.96673471,40.75657745
SP PLUS CORPORATION,-73.94952055,40.81422432
WOC CIELO GARAGE COMPANY LLC,-73.94989003,40.77453294
SP PLUS CORPORATION,-73.99092744,40.77012445
SP PLUS CORPORATION,-73.97225418,40.78131176
WEST 64TH STREET LLC,-73.98217555,40.77254429
TOWNHOUSE PARKING LLC,-73.96077068,40.77071923
225 W. 49 DEVELOPMENT LLC.,-73.98509531,40.76104973
CAPITAL PARKING LLC,-73.96557923,40.76439414
"EMBASSY GARAGE PARTNERS, LLC",-73.95851786,40.77651258
DISTINCTIVE PARKING LLC,-73.97014567,40.76470283
125 PERRY LLC,-74.00728164,40.73497261
SP PLUS CORPORATION,-73.97698306,40.75387363
WILLBE PARKING LLC,-73.98341664,40.73259195
WEST 122ND STREET GARAGE LLC,-73.95930553,40.81105529
SP PLUS CORPORATION,-73.96316023,40.7650137
EAST 44TH STREET GARAGE LLC,-73.97298109,40.75183616
"HILARY GARDENS GARAGE CO., LLC",-73.99364974,40.73045755
SP PLUS CORPORATION,-74.00557292,40.71140621
RIBAR OWNERS LLC,-74.00180055,40.73441564
RAINBOW PARKING CORP.,-73.95851236,40.76796272
206 E. 59TH ST. GARAGE CORP.,-73.96615114,40.76136137
"124 EAST 63RD STREET REALTY CO., LLC",-73.96690019,40.76494897
880 FIFTH PARKING LLC,-73.96836676,40.77060629
333 GARAGE CORP,-73.95887789,40.76649716
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98214987,40.73367319
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.96024411,40.76378035
SP PLUS CORPORATION,-74.01567706,40.71452882
45 GARAGE LLC,-73.99191419,40.76065242
"ALFRED CAR PARK, LLC",-73.98605695,40.77140576
111 EAST 82 PARTNERS LLC,-73.95845597,40.77733598
SP PLUS CORPORATION,-74.00408777,40.72701023
"COVE CLUB CAR PARK, LLC",-74.01765571,40.70803717
"44 WEST 62ND GARAGE PARTNERS, LLC",-73.98262009,40.77075479
CHAMPION PARKING 36 LLC,-73.98059771,40.74811582
