stationName,Longitude,Latitude,totalDocks
Reade St & Broadway,-74.00562789,40.71450451,39
Pike St & Monroe St,-73.99193043,40.71173107,27
Cherry St,-73.97948148,40.71219906,36
W 20 St & 7 Ave,-73.99726235,40.74238787,31
Washington Pl & Broadway,-73.99404649,40.72903917,27
Sullivan St & Washington Sq,-73.99906065,40.73047747,36
Avenue D & E 12 St,-73.97422494,40.72580614,30
Madison St & Clinton St,-73.98776323,40.71269042,27
Stanton St & Mangin St,-73.97628939,40.71782143,19
Columbia St & Rivington St,-73.98016555,40.71739973,29
Clinton Ave & Flushing Ave,-73.96986848,40.69794,23
Monroe St & Bedford Ave,-73.95380904,40.6851443,23
Bank St & Hudson St,-74.00618026,40.73652889,27
Rivington St & Ridge St,-73.98329859,40.71850211,61
Clinton St & Grand St,-73.9870295,40.71559509,28
Front St & Maiden Ln,-74.00612572,40.70530954,39
S Portland Ave & Hanson Pl,-73.97431458,40.68539567,27
Emerson Pl & Myrtle Ave,-73.96223558,40.69363137,23
Bayard St & Baxter St,-73.99974372,40.71602118,43
Bialystoker Pl & Delancey St,-73.98261206,40.71622644,23
Christopher St & Greenwich St,-74.00711384,40.73291553,50
William St & Pine St,-74.00887308,40.70717936,39
Allen St & Hester St,-73.99190759,40.71605866,43
Broadway & W 37 St,-73.98753523,40.75172632,57
West Thames St,-74.01713445,40.70834698,49
Lafayette Ave & Classon Ave,-73.96023854,40.68900443,27
Fulton St & Grand Ave,-73.9614583,40.68223166,31
Clinton Ave & Myrtle Ave,-73.968896,40.693261,33
Carmine St & 6 Ave,-74.00214988,40.73038599,39
Washington Pl & 6 Ave,-74.00026394,40.73224119,21
Franklin Ave & Myrtle Ave,-73.95801365,40.69454609,27
Willoughby Ave & Walworth St,-73.95381995,40.69331716,19
John St & William St,-74.00722156,40.70862144,43
W 31 St & 7 Ave,-73.9916,40.749156,42
W 4 St & 7 Ave S,-74.00293877,40.73401143,41
University Pl & E 14 St,-73.99200509,40.73492695,33
Centre St & Worth St,-74.00234482,40.71494807,43
Centre St & Chambers St,-74.0046073,40.71273266,39
Broadway & Berry St,-73.96525063,40.71044554,27
Duffield St & Willoughby St,-73.9842844,40.69221589,31
Clark St & Henry St,-73.99344559,40.69760127,31
Jay St & Tech Pl,-73.987167,40.695065,35
E 5 St & Avenue C,-73.97995466,40.72299208,37
E 9 St & Avenue C,-73.97768752,40.72521311,34
Lefferts Pl & Franklin Ave,-73.95576894,40.68034242,25
Fulton St & Clermont Ave,-73.96922273,40.68415748,27
Atlantic Ave & Furman St,-73.9999786,40.69165183,31
Lafayette Ave & St James Pl,-73.9647628,40.68851534,27
Pitt St & Stanton St,-73.98178024,40.71926081,15
Allen St & Rivington St,-73.98997825,40.72019576,42
E 2 St & 2 Ave,-73.99069656,40.72502876,31
Washington St & Gansevoort St,-74.008119,40.739323,51
Hicks St & Montague St,-73.99595065,40.69512845,34
Market St & Cherry St,-73.99400398,40.71076228,23
Suffolk St & Stanton St,-73.98517977,40.72066442,45
E 6 St & Avenue D,-73.97668709,40.72228087,31
