Business Name,Longitude,Latitude
NEW CANAL LAUNDROMAT INC.,-73.99308845,40.71527077
"COIN-OP, LLC",-73.99277663,40.76334233
LPJ REALTY CORP,-73.99277663,40.76334233
"LOUIE, BENNY GEHS",-73.99276529,40.73473382
81 FAMILY LAUNDROMAT CORP.,-73.9925183,40.71709874
WINGS AT BROOME LAUNDROMAT INC.,-73.99212491,40.71869068
35 ALLEN LAUNDROMAT CORP.,-73.99207834,40.71589651
ORCHARD CLEANER & LAUNDROMAT INC.,-73.99152286,40.71558631
PLAN 750 INC.,-73.99125299,40.76540078
SC WESTSIDE LAUNDRY INC.,-73.99125299,40.76540078
COLLECT COIN INC,-73.99125299,40.76540078
NEW 62 RED STAR LAUNDROMAT INC.,-73.991025,40.71592662
"LIN, SONG & HUANG, BI JIN",-73.991025,40.71592662
NEW RED STAR LAUNDROMAT INC,-73.991025,40.71592662
"BLANCA'S CLEANERS, CORP.",-73.99098219,40.76577404
"BEST WASH AND DRY, INC.",-73.99052796,40.76129459
MR.GREEN LAUNDRY INC,-73.99052796,40.76129459
KWOK WAH LAUNDROMAT INC,-73.99028193,40.71570149
"DONG, LIN",-73.99028193,40.71570149
SGJC INC.,-73.99013771,40.76399813
LAUNDROMAT CAFE INC.,-73.99013771,40.76399813
EMILY'S LAUNDROMAT NY INC.,-73.99002263,40.7128277
"TIAN TIAN LAUNDROMAT, INC.",-73.98992053,40.72010406
"ZHENG, MEI YING",-73.9898956,40.71801255
"LUCKY 999 LAUNDROMAT #2, INC.",-73.98976815,40.72573903
JLD STAR CORP.,-73.98974447,40.76238144
"GREEN CITY CLEANERS, INC.",-73.98950456,40.7729322
"HUDSON VIEW CLEANERS, INC.",-73.98950456,40.7729322
"LI, GUI MEI",-73.98950193,40.72092745
"HUDSON VIEW CLEANERS, INC.",-73.98950095,40.77292946
ESK LAUNDROMAT INC.,-73.98940222,40.71270139
"L & D LAUNDROMAT, INC.",-73.98940222,40.71270139
"YEUNG, KENNETH & MO, EDWIN",-73.98940222,40.71270139
"DDK CLEANING, INC.",-73.98924276,40.73973174
"MANLEY LAUNDROMAT, INC.",-73.98918567,40.71345343
"97 SECOND AVE. LAUNDERETTE, INC.",-73.98870359,40.72718816
"W.R. CLEANING, INC.",-73.98824204,40.72568124
"PAN, KER CHUNG",-73.98824204,40.72568124
J.J. CLEANERS & LAUNDROMAT CORP.,-73.98797494,40.72636466
J.J. CLEANERS & LAUNDROMAT CORP.,-73.98794247,40.72635093
1ST AVENUE LAUNDRY CENTER INC.,-73.98791042,40.72401514
"ASHOURZADEH, M., RABANIPOUR, R. & RABANIPOUR, H.",-73.98791042,40.72401514
"WASHLAND, LLC",-73.98771524,40.76515618
"SUPER WASCO, LTD.",-73.98771524,40.76515618
"MOY, WILLIAM",-73.98761958,40.73598224
BRIGHT LAUNDRY LAND CORP.,-73.98757182,40.72118252
"THE LAUNDRY ROOM OF ESSEX, INC",-73.98731596,40.71975521
"SHARON'S LAUNDRY SERVICE, INC.",-73.98728829,40.73242775
LAU'S WASH & DRY INC.,-73.98720774,40.71972226
LAUNDRY QUEEN III INC.,-73.98708624,40.71373593
